ダウンロードした時刻：2023/05/28 11:33:48

,つくば（館野）,つくば（館野）,つくば（館野）
年月日時,気温(℃),気温(℃),気温(℃)
,,品質情報,均質番号
2023/5/16 1:00:00,13.1,8,1
2023/5/16 2:00:00,13.5,8,1
2023/5/16 3:00:00,13.1,8,1
2023/5/16 4:00:00,12.4,8,1
2023/5/16 5:00:00,12.7,8,1
2023/5/16 6:00:00,13.6,8,1
2023/5/16 7:00:00,15.7,8,1
2023/5/16 8:00:00,17.9,8,1
2023/5/16 9:00:00,19.9,8,1
2023/5/16 10:00:00,21.3,8,1
2023/5/16 11:00:00,22.4,8,1
2023/5/16 12:00:00,24.3,8,1
2023/5/16 13:00:00,25.0,8,1
2023/5/16 14:00:00,22.5,8,1
2023/5/16 15:00:00,21.6,8,1
2023/5/16 16:00:00,21.2,8,1
2023/5/16 17:00:00,20.6,8,1
2023/5/16 18:00:00,19.0,8,1
2023/5/16 19:00:00,18.2,8,1
2023/5/16 20:00:00,17.4,8,1
2023/5/16 21:00:00,17.0,8,1
2023/5/16 22:00:00,15.7,8,1
2023/5/16 23:00:00,14.1,8,1
2023/5/17 00:00:00,13.6,8,1
2023/5/17 1:00:00,13.4,8,1
2023/5/17 2:00:00,12.8,8,1
2023/5/17 3:00:00,12.3,8,1
2023/5/17 4:00:00,11.7,8,1
2023/5/17 5:00:00,11.9,8,1
2023/5/17 6:00:00,13.7,8,1
2023/5/17 7:00:00,17.5,8,1
2023/5/17 8:00:00,19.7,8,1
2023/5/17 9:00:00,21.8,8,1
2023/5/17 10:00:00,24.8,8,1
2023/5/17 11:00:00,26.4,8,1
2023/5/17 12:00:00,28.6,8,1
2023/5/17 13:00:00,29.8,8,1
2023/5/17 14:00:00,30.4,8,1
2023/5/17 15:00:00,31.5,8,1
2023/5/17 16:00:00,31.0,8,1
2023/5/17 17:00:00,29.5,8,1
2023/5/17 18:00:00,27.1,8,1
2023/5/17 19:00:00,23.4,8,1
2023/5/17 20:00:00,20.7,8,1
2023/5/17 21:00:00,19.8,8,1
2023/5/17 22:00:00,19.1,8,1
2023/5/17 23:00:00,18.5,8,1
2023/5/18 00:00:00,17.7,8,1
